iso3,country,year,dmc_mt,mf_mt,gdp_2015usd,bloc,gap_rel,gap_abs_mt,bloc_eu15
ESP,Spain,2019,410.1178516749,615.4614121540999,1333521400432.69,EU,0.33364164905237914,205.34356047919988,EU15
ESP,Spain,2020,399.4853547204,619.0353751522,1187633217292.02,EU,0.3546647400850396,219.55002043180002,EU15
ESP,Spain,2021,413.2662541561,654.9640024098001,1267004457826.92,EU,0.369024476710819,241.69774825370007,EU15
ESP,Spain,2022,424.9080202559,651.4912446343,1347716659731.45,EU,0.3477916644997852,226.58322437839996,EU15
ESP,Spain,2023,434.8790172797,673.5951312046,1380882052539.27,EU,0.3543910917200373,238.71611392489996,EU15
ESP,Spain,2024,444.4785397532,687.96507047,1428595035672.37,EU,0.35392280970087087,243.48653071680002,EU15
FIN,Finland,1994,102.26509367749999,112.95225921870001,146472344493.8,EU,0.09461666030519454,10.687165541200017,EU15
FIN,Finland,1995,97.274255208,117.74427708660001,152674521262.385,EU,0.17385152285188743,20.470021878600008,EU15
FIN,Finland,1996,97.8888460191,114.28436225419999,158266465561.969,EU,0.14346246425763687,16.39551623509999,EU15
FIN,Finland,1997,101.25862002480001,117.8046976769,168391880311.838,EU,0.1404534621996188,16.546077652099996,EU15
FIN,Finland,1998,86.78817592579999,118.72463192730001,177576428488.635,EU,0.2689960413695452,31.93645600150002,EU15
FIN,Finland,1999,118.5974959968,145.9257130059,185370756398.689,EU,0.1872748568170099,27.3282170091,EU15
FIN,Finland,2000,114.8714054867,145.3524480165,196036503503.623,EU,0.20970436305510234,30.481042529800007,EU15
FIN,Finland,2001,160.5607067926,177.1196598199,201212380923.485,EU,0.093490203425964,16.558953027299992,EU15
