iso3,year,bloc,tapio,regime_viterbi
POL,2002,EU,SD,2
POL,2003,EU,SD,2
POL,2004,EU,EC,2
POL,2005,EU,EC,2
POL,2006,EU,WD,2
POL,2007,EU,END,2
POL,2008,EU,END,2
POL,2009,EU,SD,2
POL,2010,EU,END,2
POL,2011,EU,END,2
POL,2012,EU,SD,2
POL,2013,EU,SD,2
POL,2014,EU,WD,2
POL,2015,EU,WD,2
POL,2016,EU,SD,2
POL,2017,EU,WD,2
POL,2018,EU,WD,2
POL,2019,EU,SD,2
POL,2020,EU,SND,2
POL,2021,EU,SD,2
POL,2022,EU,WD,2
POL,2023,EU,END,2
POL,2024,EU,WD,2
PRT,1995,EU,SD,2
PRT,1996,EU,END,2
PRT,1997,EU,EC,2
PRT,1998,EU,END,2
PRT,1999,EU,END,2
PRT,2000,EU,SD,2
PRT,2001,EU,END,2
PRT,2002,EU,EC,2
PRT,2003,EU,RND,2
PRT,2004,EU,WD,2
PRT,2005,EU,SD,2
PRT,2006,EU,SD,2
PRT,2007,EU,SD,2
PRT,2008,EU,SD,2
PRT,2009,EU,SND,2
PRT,2010,EU,END,2
PRT,2011,EU,RND,1
PRT,2012,EU,RND,1
PRT,2013,EU,RND,1
PRT,2014,EU,SD,2
PRT,2015,EU,EC,2
PRT,2016,EU,END,2
PRT,2017,EU,SD,2
PRT,2018,EU,EC,2
PRT,2019,EU,EC,2
PRT,2020,EU,SND,2
PRT,2021,EU,WD,2
PRT,2022,EU,WD,2
PRT,2023,EU,EC,2
PRT,2024,EU,EC,2
PRY,1995,MERCOSUR,EC,2
PRY,1996,MERCOSUR,END,2
PRY,1997,MERCOSUR,EC,2
PRY,1998,MERCOSUR,SD,2
PRY,1999,MERCOSUR,RND,1
PRY,2000,MERCOSUR,RND,1
PRY,2001,MERCOSUR,SND,1
PRY,2002,MERCOSUR,RND,1
PRY,2003,MERCOSUR,SD,1
PRY,2004,MERCOSUR,END,1
PRY,2005,MERCOSUR,SD,1
PRY,2006,MERCOSUR,END,1
PRY,2007,MERCOSUR,END,1
PRY,2008,MERCOSUR,END,1
PRY,2009,MERCOSUR,RND,1
PRY,2010,MERCOSUR,END,1
PRY,2011,MERCOSUR,END,1
PRY,2012,MERCOSUR,RND,1
PRY,2013,MERCOSUR,EC,2
PRY,2014,MERCOSUR,END,2
PRY,2015,MERCOSUR,SD,2
PRY,2016,MERCOSUR,SD,2
PRY,2017,MERCOSUR,EC,2
PRY,2018,MERCOSUR,SD,2
